adgroup_id,展示量,点击量,点击率百分比
44952,1291,100,7.75
37026,1138,90,7.91
38140,1058,76,7.18
78398,774,74,9.56
80981,696,62,8.91
59433,807,53,6.57
78490,766,53,6.92
90668,689,53,7.69
96563,782,51,6.52
88750,791,50,6.32
23578,1379,49,3.55
57920,464,49,10.56
75556,500,49,9.8
83394,382,48,12.57
2529,627,47,7.5
58218,716,47,6.56
76964,973,47,4.83
54697,490,46,9.39
69651,546,46,8.42
86629,655,43,6.56
104401,1031,43,4.17
96284,1283,41,3.2
6147,953,40,4.2
16698,490,40,8.16
34241,730,40,5.48
68496,482,40,8.3
36547,621,38,6.12
52895,305,38,12.46
88771,976,38,3.89
8702,511,35,6.85
64602,364,35,9.62
92749,730,35,4.79
99460,553,35,6.33
25361,473,34,7.19
37309,669,34,5.08
97365,316,34,10.76
8153,292,33,11.3
50318,340,33,9.71
62826,360,33,9.17
91787,464,33,7.11
17181,687,32,4.66
50949,453,32,7.06
52685,408,32,7.84
57332,396,32,8.08
65955,515,32,6.21
81755,426,32,7.51
64328,367,31,8.45
78839,419,31,7.4
91591,541,31,5.73
88154,431,31,7.19
60300,434,30,6.91
54853,221,30,13.57
98939,911,30,3.29
102576,367,30,8.17
102942,665,30,4.51
17154,490,29,5.92
34247,438,29,6.62
47074,405,29,7.16
66403,650,29,4.46
82418,357,29,8.12
7504,492,28,5.69
767,704,28,3.98
48818,482,28,5.81
75219,206,28,13.59
91689,296,28,9.46
50715,364,27,7.42
48317,276,27,9.78
21623,305,26,8.52
87716,453,26,5.74
99902,512,26,5.08
100450,410,26,6.34
103392,687,26,3.78
52672,288,25,8.68
72174,264,25,9.47
76654,213,25,11.74
81408,165,25,15.15
97145,339,25,7.37
101422,412,25,6.07
25962,441,24,5.44
71241,246,24,9.76
66432,186,24,12.9
86046,428,24,5.61
95490,311,24,7.72
9570,237,23,9.7
34138,719,23,3.2
37493,243,23,9.47
49655,292,23,7.88
49072,582,23,3.95
73318,250,23,9.2
78374,317,23,7.26
86807,384,23,5.99
95244,390,23,5.9
103659,398,23,5.78
9889,301,22,7.31
32893,383,22,5.74
30616,336,22,6.55
31026,170,22,12.94
42829,356,22,6.18
58696,240,22,9.17
55518,573,22,3.84
71258,502,22,4.38
69144,349,22,6.3
97103,484,22,4.55
99123,531,22,4.14
103957,469,22,4.69
31200,149,21,14.09
38012,277,21,7.58
48136,252,21,8.33
54455,803,21,2.62
54359,336,21,6.25
61330,378,21,5.56
55323,256,21,8.2
82039,330,21,6.36
26304,327,20,6.12
32555,181,20,11.05
29258,162,20,12.35
38946,325,20,6.15
49944,205,20,9.76
100993,293,20,6.83
18629,215,19,8.84
26702,154,19,12.34
34170,502,19,3.78
40268,317,19,5.99
57638,178,19,10.67
68979,438,19,4.34
80491,581,19,3.27
82013,155,19,12.26
91125,279,19,6.81
94753,292,19,6.51
24013,130,18,13.85
55232,125,18,14.4
79088,203,18,8.87
103030,336,18,5.36
5447,211,17,8.06
102,624,17,2.72
14832,293,17,5.8
18145,194,17,8.76
38540,428,17,3.97
50911,475,17,3.58
51849,305,17,5.57
54299,489,17,3.48
71840,414,17,4.11
65122,328,17,5.18
92800,541,17,3.14
99873,251,17,6.77
97624,255,17,6.67
98172,167,17,10.18
100079,140,17,12.14
102161,263,17,6.46
5336,575,16,2.78
11337,197,16,8.12
7939,122,16,13.11
6743,102,16,15.69
30136,161,16,9.94
41009,225,16,7.11
41376,213,16,7.51
53544,133,16,12.03
50059,393,16,4.07
47511,404,16,3.96
56398,250,16,6.4
59618,185,16,8.65
62204,401,16,3.99
66568,147,16,10.88
65630,236,16,6.78
78840,196,16,8.16
87754,159,16,10.06
98474,287,16,5.57
99317,187,16,8.56
102218,361,16,4.43
103236,150,16,10.67
9655,252,15,5.95
9964,226,15,6.64
22097,148,15,10.14
15223,480,15,3.13
18237,284,15,5.28
17445,384,15,3.91
23312,232,15,6.47
43508,443,15,3.39
69456,415,15,3.61
84319,160,15,9.38
89588,168,15,8.93
86875,184,15,8.15
94587,459,15,3.27
95818,162,15,9.26
100664,185,15,8.11
104247,262,15,5.73
103020,181,15,8.29
1506,131,14,10.69
12457,454,14,3.08
22282,403,14,3.47
13341,176,14,7.95
33322,53,14,26.42
33886,426,14,3.29
43806,285,14,4.91
37886,358,14,3.91
46591,231,14,6.06
53214,259,14,5.41
55550,333,14,4.2
58781,157,14,8.92
65641,142,14,9.86
68370,176,14,7.95
64186,239,14,5.86
73350,191,14,7.33
83053,228,14,6.14
73875,282,14,4.96
80869,285,14,4.91
88666,240,14,5.83
84924,124,14,11.29
91222,183,14,7.65
86772,161,14,8.7
96723,213,14,6.57
96248,166,14,8.43
93448,213,14,6.57
1039,168,13,7.74
6625,235,13,5.53
20747,134,13,9.7
30428,601,13,2.16
44189,190,13,6.84
42460,283,13,4.59
37905,116,13,11.21
61305,210,13,6.19
57976,227,13,5.73
73388,179,13,7.26
80024,82,13,15.85
76474,130,13,10.0
74540,202,13,6.44
74228,195,13,6.67
80428,268,13,4.85
91143,231,13,5.63
91575,294,13,4.42
99054,197,13,6.6
99795,242,13,5.37
94032,212,13,6.13
103572,202,13,6.44
100346,121,13,10.74
4587,254,12,4.72
616,284,12,4.23
21553,263,12,4.56
19952,229,12,5.24
30769,524,12,2.29
27729,125,12,9.6
35983,102,12,11.76
36229,164,12,7.32
44669,124,12,9.68
43056,303,12,3.96
39755,158,12,7.59
50844,71,12,16.9
62555,229,12,5.24
60609,183,12,6.56
56917,115,12,10.43
57706,248,12,4.84
67701,112,12,10.71
64298,150,12,8.0
82253,138,12,8.7
80281,73,12,16.44
90802,182,12,6.59
90531,360,12,3.33
88259,96,12,12.5
85661,145,12,8.28
98128,224,12,5.36
95262,238,12,5.04
102831,311,12,3.86
102183,301,12,3.99
5282,188,11,5.85
13250,262,11,4.2
10893,112,11,9.82
20751,88,11,12.5
24353,327,11,3.36
21362,197,11,5.58
30589,136,11,8.09
26820,245,11,4.49
25943,123,11,8.94
26148,236,11,4.66
31923,779,11,1.41
34553,122,11,9.02
35712,94,11,11.7
45140,159,11,6.92
51558,135,11,8.15
54422,678,11,1.62
48936,150,11,7.33
54389,75,11,14.67
50075,175,11,6.29
59299,195,11,5.64
60626,153,11,7.19
56514,404,11,2.72
67169,89,11,12.36
71256,158,11,6.96
70343,174,11,6.32
76648,204,11,5.39
87675,162,11,6.79
90794,89,11,12.36
90100,175,11,6.29
97872,59,11,18.64
95228,256,11,4.3
104172,59,11,18.64
103758,206,11,5.34
100397,199,11,5.53
102181,131,11,8.4
104395,170,11,6.47
8534,231,10,4.33
2834,110,10,9.09
4677,206,10,4.85
18516,94,10,10.64
30311,235,10,4.26
31547,135,10,7.41
34522,140,10,7.14
32749,129,10,7.75
39151,117,10,8.55
36822,412,10,2.43
42520,176,10,5.68
41544,179,10,5.59
36667,132,10,7.58
39234,255,10,3.92
54357,212,10,4.72
48262,52,10,19.23
47917,78,10,12.82
58141,151,10,6.62
60238,125,10,8.0
55339,235,10,4.26
54711,190,10,5.26
58478,67,10,14.93
67269,108,10,9.26
65381,233,10,4.29
64723,151,10,6.62
71948,179,10,5.59
66357,157,10,6.37
66350,334,10,2.99
82191,179,10,5.59
76889,169,10,5.92
79171,164,10,6.1
83103,135,10,7.41
76553,86,10,11.63
83796,164,10,6.1
88130,116,10,8.62
91384,128,10,7.81
90851,82,10,12.2
86431,54,10,18.52
99127,287,10,3.48
99705,191,10,5.24
93366,67,10,14.93
98908,170,10,5.88
95552,79,10,12.66
100672,131,10,7.63
11146,119,9,7.56
6010,186,9,4.84
8693,347,9,2.59
5794,312,9,2.88
5850,105,9,8.57
19266,228,9,3.95
17810,199,9,4.52
17621,156,9,5.77
31381,48,9,18.75
26630,114,9,7.89
32501,168,9,5.36
31457,88,9,10.23
33040,181,9,4.97
32913,76,9,11.84
27033,92,9,9.78
34400,273,9,3.3
