adgroup_id,buy,cart,fav,pv,总行为数,购买转化率,加购率,收藏率
21700,0,3,0,31,34,0.0,0.0968,0.0
46266,1,1,1,38,41,0.0263,0.0263,0.0263
80033,0,1,2,26,29,0.0,0.0385,0.0769
14832,2,8,1,143,154,0.014,0.0559,0.007
101475,0,0,0,3,3,0.0,0.0,0.0
41409,0,1,0,61,62,0.0,0.0164,0.0
68135,0,0,0,37,37,0.0,0.0,0.0
36538,0,0,0,2,2,0.0,0.0,0.0
23364,0,1,0,6,7,0.0,0.1667,0.0
87905,2,0,1,26,29,0.0769,0.0,0.0385
88666,1,6,0,114,121,0.0088,0.0526,0.0
83861,0,0,0,1,1,0.0,0.0,0.0
63645,0,0,0,7,7,0.0,0.0,0.0
19530,0,1,1,17,19,0.0,0.0588,0.0588
74166,0,0,0,12,12,0.0,0.0,0.0
21220,0,0,0,6,6,0.0,0.0,0.0
87120,1,0,0,4,5,0.25,0.0,0.0
83242,0,1,0,2,3,0.0,0.5,0.0
32855,0,1,0,9,10,0.0,0.1111,0.0
79220,0,0,0,1,1,0.0,0.0,0.0
104053,0,0,2,18,20,0.0,0.0,0.1111
94265,4,0,0,64,68,0.0625,0.0,0.0
26708,1,1,0,41,43,0.0244,0.0244,0.0
57201,0,0,1,7,8,0.0,0.0,0.1429
18024,0,1,1,22,24,0.0,0.0455,0.0455
35820,0,0,0,7,7,0.0,0.0,0.0
65478,0,0,0,7,7,0.0,0.0,0.0
25462,0,0,0,12,12,0.0,0.0,0.0
99168,0,1,0,34,35,0.0,0.0294,0.0
74775,0,0,0,20,20,0.0,0.0,0.0
22346,0,0,0,9,9,0.0,0.0,0.0
148,0,1,0,37,38,0.0,0.027,0.0
74058,0,0,0,2,2,0.0,0.0,0.0
33717,0,0,0,7,7,0.0,0.0,0.0
42834,0,1,0,3,4,0.0,0.3333,0.0
22097,0,0,0,89,89,0.0,0.0,0.0
89844,0,0,0,11,11,0.0,0.0,0.0
74904,0,3,0,31,34,0.0,0.0968,0.0
92317,0,0,0,5,5,0.0,0.0,0.0
94950,0,0,0,10,10,0.0,0.0,0.0
6357,1,1,0,88,90,0.0114,0.0114,0.0
89874,0,1,0,11,12,0.0,0.0909,0.0
7340,0,0,1,2,3,0.0,0.0,0.5
16861,0,0,0,5,5,0.0,0.0,0.0
95080,2,0,0,41,43,0.0488,0.0,0.0
14570,0,0,0,2,2,0.0,0.0,0.0
65408,0,0,0,8,8,0.0,0.0,0.0
35982,0,2,0,4,6,0.0,0.5,0.0
42635,0,0,0,8,8,0.0,0.0,0.0
1580,1,0,0,29,30,0.0345,0.0,0.0
20735,0,0,0,2,2,0.0,0.0,0.0
43688,0,0,0,1,1,0.0,0.0,0.0
82730,0,0,0,2,2,0.0,0.0,0.0
101094,0,0,0,2,2,0.0,0.0,0.0
64628,0,0,0,4,4,0.0,0.0,0.0
45307,0,0,0,3,3,0.0,0.0,0.0
56987,0,0,0,4,4,0.0,0.0,0.0
22223,0,0,0,9,9,0.0,0.0,0.0
59990,0,0,0,1,1,0.0,0.0,0.0
97413,0,1,0,6,7,0.0,0.1667,0.0
41890,0,0,0,2,2,0.0,0.0,0.0
96224,0,0,0,1,1,0.0,0.0,0.0
19204,0,0,0,1,1,0.0,0.0,0.0
41946,0,0,0,1,1,0.0,0.0,0.0
20924,0,0,0,12,12,0.0,0.0,0.0
91141,0,0,0,1,1,0.0,0.0,0.0
69352,0,0,0,1,1,0.0,0.0,0.0
87656,0,0,0,1,1,0.0,0.0,0.0
81410,0,0,0,1,1,0.0,0.0,0.0
61330,2,5,4,333,344,0.006,0.015,0.012
38562,0,2,0,73,75,0.0,0.0274,0.0
26544,0,0,0,1,1,0.0,0.0,0.0
66562,0,1,0,17,18,0.0,0.0588,0.0
623,0,1,0,20,21,0.0,0.05,0.0
68485,0,0,0,4,4,0.0,0.0,0.0
14465,0,0,0,1,1,0.0,0.0,0.0
57513,0,0,1,10,11,0.0,0.0,0.1
100220,0,0,0,31,31,0.0,0.0,0.0
66277,0,0,0,10,10,0.0,0.0,0.0
97872,0,1,1,81,83,0.0,0.0123,0.0123
96565,2,0,0,59,61,0.0339,0.0,0.0
34103,0,0,0,3,3,0.0,0.0,0.0
63557,0,0,1,20,21,0.0,0.0,0.05
78766,0,0,0,7,7,0.0,0.0,0.0
93633,0,0,1,8,9,0.0,0.0,0.125
61682,0,0,0,5,5,0.0,0.0,0.0
4158,0,0,0,7,7,0.0,0.0,0.0
40332,0,2,0,33,35,0.0,0.0606,0.0
1522,0,0,0,1,1,0.0,0.0,0.0
46209,1,0,2,44,47,0.0227,0.0,0.0455
52507,0,0,0,3,3,0.0,0.0,0.0
101740,0,0,0,11,11,0.0,0.0,0.0
101362,0,0,1,17,18,0.0,0.0,0.0588
100068,2,1,0,27,30,0.0741,0.037,0.0
51142,0,0,0,12,12,0.0,0.0,0.0
2811,0,0,2,13,15,0.0,0.0,0.1538
11500,0,0,0,2,2,0.0,0.0,0.0
71984,0,0,0,28,28,0.0,0.0,0.0
16916,0,0,0,33,33,0.0,0.0,0.0
63464,0,0,0,19,19,0.0,0.0,0.0
10081,0,0,0,1,1,0.0,0.0,0.0
