adgroup_id,cate_id,campaign_id,customer,brand,price,userid,cms_segid,cms_group_id,final_gender_code,age_level,shopping_level,occupation,new_user_class_level ,pvalue_level,pid,clk,date,hour
1,9025.0,108570.0,1337.0,20169.0,17.0,581738,0.0,8.0,1.0,2.0,3.0,0.0,2.0,1.0,430548_1007,0,2017-05-07,6
4,7958.0,385883.0,39662.0,216840.0,85.0,914836,0.0,5.0,2.0,5.0,3.0,0.0,2.0,2.0,430548_1007,0,2017-05-13,4
5,7958.0,385883.0,39662.0,216840.0,60.0,914836,0.0,5.0,2.0,5.0,3.0,0.0,2.0,2.0,430548_1007,0,2017-05-13,4
8,1626.0,388290.0,42349.0,241359.0,63.0,399907,0.0,5.0,2.0,5.0,3.0,0.0,2.0,1.0,430548_1007,0,2017-05-09,4
9,9784.0,393714.0,32496.0,457216.0,396.0,628137,0.0,9.0,1.0,3.0,1.0,0.0,2.0,2.0,430548_1007,0,2017-05-11,17
9,9784.0,393714.0,32496.0,457216.0,396.0,298139,0.0,10.0,1.0,4.0,3.0,0.0,3.0,2.0,430539_1007,0,2017-05-11,0
11,5239.0,384809.0,25745.0,134255.0,176.0,555266,0.0,4.0,2.0,4.0,3.0,0.0,3.0,2.0,430539_1007,0,2017-05-09,5
11,5239.0,384809.0,25745.0,134255.0,176.0,117840,49.0,6.0,2.0,6.0,3.0,0.0,2.0,2.0,430548_1007,0,2017-05-06,2
11,5239.0,384809.0,25745.0,134255.0,176.0,739815,0.0,4.0,2.0,4.0,3.0,0.0,1.0,1.0,430539_1007,0,2017-05-07,0
11,5239.0,384809.0,25745.0,134255.0,176.0,623911,93.0,11.0,1.0,5.0,3.0,0.0,2.0,3.0,430548_1007,0,2017-05-12,21
11,5239.0,384809.0,25745.0,134255.0,176.0,623911,93.0,11.0,1.0,5.0,3.0,0.0,2.0,3.0,430548_1007,0,2017-05-10,21
11,5239.0,384809.0,25745.0,134255.0,176.0,421590,0.0,4.0,2.0,4.0,1.0,0.0,2.0,2.0,430548_1007,0,2017-05-06,1
